Emotion,Url,color,rgb
shocked,https://ionemadamenoire.files.wordpress.com/2016/01/shocked1.gif,"(30, 16, 15)",
shocked,https://www.pngfind.com/pngs/m/104-1041539_shocked-png-shocked-woman-face-png-transparent-png.png,"(237, 224, 216)","[(237, 224, 216), (66, 28, 17), (146, 85, 55), (186, 130, 93)]"
shocked,https://cdn1.vectorstock.com/i/1000x1000/09/00/shocked-face-emoji-icon-vector-20670900.jpg,"(241, 170, 34)","[(47, 13, 26), (241, 170, 34), (232, 236, 233), (203, 63, 55)]"
shocked,https://d1yn1kh78jj1rr.cloudfront.net/image/preview/V78CfqF2gillf3x3o/storyblocks-shocked-gossip-girl-eavesdropping-with-hand-to-ear-surprised-woman-overhearing-listening-to-rumors-spying-and-secret-concept-instagram-filter_HKI8wmr1M_SB_PM.jpg,"(217, 195, 167)",
shocked,https://img.freepik.com/free-photo/shocked-face-man-grey-t-shirt-with-hand-point-empty-space_39688-2893.jpg?size=626&ext=jpg,"(202, 200, 200)","[(201, 200, 199), (98, 71, 60), (152, 108, 101), (105, 105, 105)]"
shocked,http://www.clker.com/cliparts/f/8/8/e/1391840837323789383shocked-face-hi.png,"(213, 208, 204)","[(201, 195, 190), (63, 54, 48), (101, 90, 82), (110, 100, 91)]"
shocked,https://pics.me.me/let-me-show-you-my-shocked-face-quitmemes-com-14212859.png,"(68, 68, 68)","[(84, 85, 84), (208, 210, 212), (190, 161, 145), (156, 170, 189)]"
shocked,http://www.macmillandictionaryblog.com/wp-content/uploads/2017/03/shocked-810x474.jpg,"(183, 178, 171)","[(171, 167, 163), (48, 51, 69), (97, 65, 73), (113, 90, 73)]"
shocked,https://d2v9y0dukr6mq2.cloudfront.net/video/thumbnail/BSz9FdHEeiww83u11/videoblocks-shocked-woman-white-background_slofjpmjl_thumbnail-full03.png,"(220, 192, 176)",
shocked,https://image.shutterstock.com/image-photo/shocked-face-asian-man-white-260nw-755345443.jpg,"(206, 205, 203)","[(206, 204, 203), (49, 42, 44), (159, 111, 87), (127, 84, 73)]"
shocked,http://pop.inquirer.net/files/2017/06/Donald-Trump-shocked.jpg,,
