,Link,Images
0,https://www.wikiart.org/en/charles-courtney-curran/in-the-luxembourg-garden-1889,https://uploads4.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg!Large.jpg
1,https://www.wikiart.org/en/keith-haring/the-marriage-of-heaven-and-hell-1984,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg
2,https://www.wikiart.org/en/jozsef-rippl-ronai/uncle-piacsek-in-front-of-the-black-sideboard-1906,https://uploads4.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg!Large.jpg
3,https://www.wikiart.org/en/vadym-meller/monk-for-the-play-mazeppa-1920,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg
4,https://www.wikiart.org/en/david-wilkie/the-defence-of-sarago-a,https://uploads7.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg!Large.jpg
5,https://www.wikiart.org/en/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909,https://uploads5.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg!Large.jpg
6,https://www.wikiart.org/en/nikolai-ge/last-supper,https://uploads2.wikiart.org/images/nikolai-ge/last-supper.jpg!Large.jpg
7,https://www.wikiart.org/en/charles-francois-daubigny/spring-1857,https://uploads8.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg!Large.jpg
8,https://www.wikiart.org/en/robert-smithson/mirror-and-crushed-shells-1969,https://uploads8.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg!Large.jpg
9,https://www.wikiart.org/en/richard-serra/one-ton-prop-house-of-cards-1969,https://uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg
10,https://www.wikiart.org/en/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970,https://uploads8.wikiart.org/images/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg
11,https://www.wikiart.org/en/george-romney/admiral-john-forbes-1714-1796-1778,https://uploads1.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg!Large.jpg
12,https://www.wikiart.org/en/ron-gorchov/untitled-1968,https://uploads4.wikiart.org/images/ron-gorchov/untitled-1968.jpg
13,https://www.wikiart.org/en/louis-cane/toile-d-coup-e-1976,https://uploads0.wikiart.org/images/louis-cane/toile-d-coup-e-1976.jpg
14,https://www.wikiart.org/en/francis-picabia/dances-at-the-spring-1912,https://uploads3.wikiart.org/images/francis-picabia/dances-at-the-spring-1912.jpg!Large.jpg
15,https://www.wikiart.org/en/domenico-veneziano/madonna-and-child,https://uploads7.wikiart.org/images/domenico-veneziano/madonna-and-child.jpg!Large.jpg
16,https://www.wikiart.org/en/jacques-louis-david/the-consecration-of-the-emperor-napoleon-and-the-coronation-of-the-empress-josephine-by-pope-1807,https://uploads0.wikiart.org/00380/images/jacques-louis-david/coronation-of-emperor-napoleon-i-and-coronation-of-the-empress-josephine-in-notre-dame-de-paris.jpg!Large.jpg
17,https://www.wikiart.org/en/karl-otto-gotz/untitled-1958,https://uploads7.wikiart.org/images/karl-otto-gotz/untitled-1958.jpg
18,https://www.wikiart.org/en/edvard-munch/the-sick-child-1886,https://uploads2.wikiart.org/images/edvard-munch/the-sick-child-1886.jpg
19,https://www.wikiart.org/en/herbert-zangs/peinture-relief-1955,https://uploads4.wikiart.org/images/herbert-zangs/peinture-relief-1955.jpg
20,https://www.wikiart.org/en/joan-brown/self-portrait-with-cloud-cigarette-1964,https://uploads2.wikiart.org/images/joan-brown/self-portrait-with-cloud-cigarette-1964.jpg
21,https://www.wikiart.org/en/adriaen-van-de-venne/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair,https://uploads4.wikiart.org/images/adriaen-van-de-venne/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair.jpg!Large.jpg
22,https://www.wikiart.org/en/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree-1855,https://uploads5.wikiart.org/images/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg!Large.jpg
23,https://www.wikiart.org/en/victor-servranckx/red-rotation-1922,https://uploads5.wikiart.org/images/victor-servranckx/red-rotation-1922.jpg
24,https://www.wikiart.org/en/antonio-areal/opus-ii-n-40-1961,https://uploads1.wikiart.org/images/antonio-areal/opus-ii-n-40-1961.jpg
25,https://www.wikiart.org/en/corneille/planets-1974,https://uploads1.wikiart.org/images/corneille/planets-1974.jpg
26,https://www.wikiart.org/en/antonio-calderara/spazio-luce-1961,https://uploads4.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg
27,https://www.wikiart.org/en/afro/figure,https://uploads8.wikiart.org/images/afro/figure.jpg
28,https://www.wikiart.org/en/eileen-agar/the-reaper-1938,https://uploads7.wikiart.org/images/eileen-agar/the-reaper-1938.jpg!Large.jpg
29,https://www.wikiart.org/en/lynda-benglis/corner-piece-1969,https://uploads1.wikiart.org/images/lynda-benglis/corner-piece-1969.jpg
30,https://www.wikiart.org/en/alma-woodsey-thomas/atmospheric-effects-i-1970,https://uploads7.wikiart.org/images/alma-woodsey-thomas/atmospheric-effects-i-1970.jpg
31,https://www.wikiart.org/en/francisco-de-zurbaran/st-apollonia-1636,https://uploads7.wikiart.org/images/francisco-zurbaran/st-apollonia-1636.jpg!Large.jpg
