,Unnamed: 0,ID,Category,Artist,Title,Year,Image URL,Painting Info URL,Artist Info URL,rgb
0,0,58c6237dedc2c9c7dc0de1ae,Impressionism,Charles Courtney Curran,In the Luxembourg Garden,1889,https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,https://www.wikiart.org/en/charles-courtney-curran/in-the-luxembourg-garden-1889,https://www.wikiart.org/en/charles-courtney-curran,"[(63, 64, 26), (191, 169, 126), (152, 157, 117), (146, 142, 134)]"
1,1,577280dfedc2cb3880f28e76,Neo-Expressionism,Keith Haring,The Marriage of Heaven and Hell,1984,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,https://www.wikiart.org/en/keith-haring/the-marriage-of-heaven-and-hell-1984,https://www.wikiart.org/en/keith-haring,"[(214, 211, 207), (30, 27, 23), (103, 96, 91), (112, 108, 98)]"
2,2,57727f2dedc2cb3880ed5fa9,Post-Impressionism,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,1906,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,https://www.wikiart.org/en/jozsef-rippl-ronai/uncle-piacsek-in-front-of-the-black-sideboard-1906,https://www.wikiart.org/en/jozsef-rippl-ronai,"[(171, 140, 113), (39, 38, 43), (183, 184, 213), (91, 55, 50)]"
3,3,58d1240cedc2c94f900fc610,Cubism,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,1920,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,https://www.wikiart.org/en/vadym-meller/monk-for-the-play-mazeppa-1920,https://www.wikiart.org/en/vadym-meller,"[(217, 175, 117), (101, 79, 57), (118, 104, 79), (215, 213, 187)]"
4,4,57727de7edc2cb3880e91f26,Romanticism,David Wilkie,The Defence of Sarago&#231;a,1828,https://uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,https://www.wikiart.org/en/david-wilkie/the-defence-of-sarago-a,https://www.wikiart.org/en/david-wilkie,"[(57, 44, 35), (199, 174, 138), (160, 154, 148), (137, 133, 138)]"
5,5,57728297edc2cb3880f81f5b,Expressionism,Lyonel Feininger,"In a Village Near Paris (Street in Paris, Pink Sky)",1909,https://uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,https://www.wikiart.org/en/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909,https://www.wikiart.org/en/lyonel-feininger,"[(92, 126, 171), (216, 203, 219), (61, 54, 61), (158, 209, 229)]"
6,6,5772797dedc2cb3880db5504,Realism,Nikolai Ge,Last Supper,1863,https://uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,https://www.wikiart.org/en/nikolai-ge/last-supper,https://www.wikiart.org/en/nikolai-ge,"[(40, 42, 28), (208, 108, 40), (121, 126, 108), (128, 140, 124)]"
7,7,57726e48edc2cb3880b69b14,Realism,Charles-Francois Daubigny,Spring,1857,https://uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,https://www.wikiart.org/en/charles-francois-daubigny/spring-1857,https://www.wikiart.org/en/charles-francois-daubigny,"[(59, 63, 46), (185, 183, 164), (163, 164, 149), (155, 153, 142)]"
8,8,57728255edc2cb3880f7644a,Minimalism,Robert Smithson,Mirror and Crushed Shells,1969,https://uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,https://www.wikiart.org/en/robert-smithson/mirror-and-crushed-shells-1969,https://www.wikiart.org/en/robert-smithson,"[(211, 205, 197), (52, 53, 39), (99, 94, 82), (130, 105, 81)]"
9,9,5772843bedc2cb3880fd334d,Minimalism,Richard Serra,One Ton Prop (House of Cards),1969,https://uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,https://www.wikiart.org/en/richard-serra/one-ton-prop-house-of-cards-1969,https://www.wikiart.org/en/richard-serra,"[(99, 89, 73), (214, 174, 125), (166, 164, 157), (166, 164, 148)]"
10,10,577285b4edc2cb388001c741,Pop Art,Patrick Procktor,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints",1970,https://uploads8.wikiart.org/images/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg,https://www.wikiart.org/en/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970,https://www.wikiart.org/en/patrick-procktor,"[(152, 164, 181), (42, 63, 129), (76, 84, 144), (92, 100, 124)]"
11,11,5772898cedc2cb38800df3fd,Rococo,George Romney,Admiral John Forbes (1714–1796),1778,https://uploads0.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg,https://www.wikiart.org/en/george-romney/admiral-john-forbes-1714-1796-1778,https://www.wikiart.org/en/george-romney,"[(53, 54, 48), (161, 152, 111), (130, 133, 98), (122, 121, 108)]"
12,12,5772849eedc2cb3880fe72ab,Color Field Painting,Ron Gorchov,Untitled,1968,https://uploads4.wikiart.org/images/ron-gorchov/untitled-1968.jpg,https://www.wikiart.org/en/ron-gorchov/untitled-1968,https://www.wikiart.org/en/ron-gorchov,"[(24, 115, 186), (224, 88, 41), (15, 34, 31), (60, 60, 100)]"
13,13,577282b3edc2cb3880f89e19,Color Field Painting,Louis Cane,Toile d&#233;coup&#233;e,1976,https://uploads0.wikiart.org/images/louis-cane/toile-d-coup-e-1976.jpg,https://www.wikiart.org/en/louis-cane/toile-d-coup-e-1976,https://www.wikiart.org/en/louis-cane,"[(107, 62, 98), (242, 237, 241), (172, 146, 164), (164, 148, 164)]"
14,14,577284a7edc2cb3880fe813a,Cubism,Francis Picabia,Dances at the Spring,1912,https://uploads2.wikiart.org/images/francis-picabia/dances-at-the-spring-1912.jpg,https://www.wikiart.org/en/francis-picabia/dances-at-the-spring-1912,https://www.wikiart.org/en/francis-picabia,"[(178, 104, 70), (52, 42, 37), (235, 205, 179), (219, 178, 156)]"
