Emotion,Url,color,rgb,palette
shocked,https://www.pngfind.com/pngs/m/104-1041539_shocked-png-shocked-woman-face-png-transparent-png.png,"(237, 224, 216)","[(237, 224, 216), (66, 28, 17), (146, 85, 55), (186, 130, 93)]","['antiquewhite', 'maroon', 'sienna', 'peru']"
shocked,https://cdn1.vectorstock.com/i/1000x1000/09/00/shocked-face-emoji-icon-vector-20670900.jpg,"(241, 170, 34)","[(47, 13, 26), (241, 170, 34), (232, 236, 233), (203, 63, 55)]","['black', 'goldenrod', 'lavender', 'firebrick']"
shocked,https://img.freepik.com/free-photo/shocked-face-man-grey-t-shirt-with-hand-point-empty-space_39688-2893.jpg?size=626&ext=jpg,"(202, 200, 200)","[(201, 200, 200), (54, 45, 42), (166, 119, 95), (135, 90, 75)]","['silver', 'darkslategray', 'indianred', 'sienna']"
shocked,http://www.clker.com/cliparts/f/8/8/e/1391840837323789383shocked-face-hi.png,"(213, 208, 204)","[(201, 195, 190), (63, 54, 48), (101, 90, 82), (110, 100, 91)]","['silver', 'darkslategray', 'dimgray', 'dimgray']"
shocked,https://pics.me.me/let-me-show-you-my-shocked-face-quitmemes-com-14212859.png,"(68, 68, 68)","[(84, 85, 84), (208, 210, 212), (190, 161, 145), (156, 170, 189)]","['dimgray', 'lightgray', 'rosybrown', 'darkgray']"
shocked,http://www.macmillandictionaryblog.com/wp-content/uploads/2017/03/shocked-810x474.jpg,"(183, 178, 171)","[(171, 167, 163), (48, 51, 69), (97, 65, 73), (113, 90, 73)]","['darkgray', 'darkslategray', 'darkolivegreen', 'dimgray']"
shocked,https://image.shutterstock.com/image-photo/shocked-face-asian-man-white-260nw-755345443.jpg,"(206, 205, 203)","[(206, 204, 203), (49, 42, 44), (159, 111, 87), (127, 84, 73)]","['lightgray', 'darkslategray', 'indianred', 'sienna']"
shocked,"https://i.guim.co.uk/img/uploads/2018/04/11/Gary_Younge,_L.png?width=300&quality=85&auto=format&fit=max&s=7e5b0376571069837a7fb78ba6c80952","(43, 41, 52)","[(46, 43, 54), (186, 147, 136), (124, 116, 116), (84, 92, 124)]","['darkslategray', 'rosybrown', 'gray', 'dimgray']"
shocked,https://thumbs.gfycat.com/AcclaimedDelectableHerculesbeetle-size_restricted.gif,"(208, 183, 162)","[(204, 179, 158), (108, 77, 61), (145, 105, 80), (124, 100, 92)]","['tan', 'darkolivegreen', 'sienna', 'dimgray']"
shocked,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2019/04/10/931/524/694940094001_6024746356001_6024742509001-vs.jpg?ve=1&tl=1,"(180, 155, 128)","[(189, 167, 144), (55, 42, 31), (115, 66, 44), (140, 93, 54)]","['rosybrown', 'darkslategray', 'saddlebrown', 'sienna']"
shocked,https://i1.wp.com/metro.co.uk/wp-content/uploads/2019/07/image-2019-07-01T114205.551-2115.jpg?quality=90&strip=all&zoom=1&resize=644%2C362&ssl=1,"(168, 152, 148)","[(169, 153, 149), (67, 59, 55), (84, 82, 79), (90, 78, 66)]","['rosybrown', 'darkslategray', 'darkslategray', 'darkolivegreen']"
shocked,https://cdn1.vectorstock.com/i/1000x1000/34/40/shocked-emoji-vector-11243440.jpg,"(243, 182, 15)","[(28, 35, 54), (243, 182, 15), (227, 225, 211), (170, 33, 20)]","['darkslategray', 'orange', 'gainsboro', 'firebrick']"
